INFO 2021-12-23 09:58:26,595 autoreload 578 Watching for file changes with StatReloader
INFO 2021-12-23 09:58:38,507 basehttp 154 "GET / HTTP/1.1" 200 38951
INFO 2021-12-23 09:58:38,546 basehttp 154 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,546 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,554 basehttp 154 "GET /static/js/jquery-1.12.4.min.js HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,557 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,557 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,570 basehttp 154 "GET /static/js/common.js HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,573 basehttp 154 "GET /static/js/slide.js HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,584 basehttp 154 "GET /static/images/goods/goods001.jpg HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,584 basehttp 154 "GET /static/images/1.png HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,584 basehttp 154 "GET /static/images/goods/goods002.jpg HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,584 basehttp 154 "GET /static/images/slide01.jpg HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,585 basehttp 154 "GET /static/images/slide02.jpg HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,585 basehttp 154 "GET /static/images/slide03.jpg HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,591 basehttp 154 "GET /static/js/index.js HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,592 basehttp 154 "GET /static/images/slide04.jpg HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,592 basehttp 154 "GET /static/images/goods/goods004.jpg HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,593 basehttp 154 "GET /static/images/banner01.jpg HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,593 basehttp 154 "GET /static/images/adv01.jpg HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,593 basehttp 154 "GET /static/images/goods/goods003.jpg HTTP/1.1" 304 0
INFO 2021-12-23 09:58:38,594 basehttp 154 "GET /static/images/goods/goods005.jpg HTTP/1.1" 304 0
